team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,Monmouth,10,"10 Sims, Koi",*,31,5-12,0-0,0-3,6-3,9,0,3,0,0,1,10,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,22,"22 Rozzi, Bri",*,35,1-7,1-4,0-0,1-0,1,3,3,2,0,1,3,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,02,"02 Van-Otoo, Meliah",*,6,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,13,"13 Tañedo, Caramina",,35,3-7,2-4,3-3,3-0,3,1,2,1,0,1,11,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,11,"11 Glezen, Emma",,8,0-0,0-0,2-2,2-0,2,0,1,0,0,1,2,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,12,"12 Garcia, Cristina",,8,1-1,0-0,0-0,1-0,1,2,0,0,0,0,2,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,01,"01 Ratigan, Kelly",,4,0-2,0-2,0-0,0-0,0,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,23,"23 Espinal, Marta",,3,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,Monmouth,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0,11/16/22,7:00 PM,"Reitz Arena, Baltimore, MD",61,59
Loyola Maryland,George Mason,04,"04 Dixon, Taleah",*,35,10-17,2-4,6-6,0-1,1,3,0,3,0,4,28,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,45,"45 Therien, Lex",*,30,5-13,0-1,3-3,4-4,8,4,1,2,0,1,13,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,22,"22 Rozzi, Bri",*,37,3-8,1-3,0-0,1-1,2,1,0,0,0,1,7,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,02,"02 Van-Otoo, Meliah",*,12,1-3,0-0,1-2,0-0,0,1,1,1,0,0,3,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,10,"10 Sims, Koi",*,24,1-5,0-0,0-0,2-5,7,5,1,3,1,1,2,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,12,"12 Garcia, Cristina",,6,0-0,0-0,3-4,0-0,0,3,0,0,0,0,3,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,23,"23 Espinal, Marta",,14,1-1,0-0,0-0,1-2,3,2,1,1,0,0,2,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,13,"13 Tañedo, Caramina",,26,0-3,0-1,0-0,1-2,3,0,1,0,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,11,"11 Glezen, Emma",,11,0-0,0-0,0-0,0-1,1,4,0,3,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,01,"01 Ratigan, Kelly",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
Loyola Maryland,George Mason,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,1,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",58,66
George Mason,Loyola Maryland,00,"00 Jameson,Taylor",*,37,6-11,3-7,4-6,1-1,2,2,1,2,0,1,19,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,42,"42 Kaysia,Nalani",*,32,5-8,0-0,0-4,0-6,6,1,0,3,2,0,10,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,15,"15 Ephraim,J-Naya",*,23,0-2,0-0,5-6,3-2,5,1,1,1,0,0,5,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,25,"25 Childs,Riley",*,24,1-3,1-2,1-2,1-3,4,4,2,1,2,2,4,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,04,"04 Smith,Sonia",*,27,1-5,0-0,1-2,1-2,3,3,4,4,0,0,3,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,02,"02 Lawhorne,Tamia",,21,5-8,4-6,3-4,1-1,2,0,1,2,0,0,17,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,01,"01 Doster,Jazmyn",,10,1-2,0-0,2-6,2-4,6,4,0,0,3,0,4,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,14,"14 Suarez,Paula",,19,1-1,0-0,0-0,0-0,0,1,3,1,0,1,2,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
