Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
vs Bucknell,01/25/20,60-50,W,19-46,.413,7-14,.500,15-16,.938,9,23,32,35.0,10,10,12,0,7,60,60.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9498,2019-20
vs Boston U,01/29/20,39-41,L,15-45,.333,1-9,.111,8-13,.615,8,21,29,34.7,16,9,18,6,6,39,59.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9499,2019-20
at Navy,02/01/20,50-44,W,19-49,.388,5-13,.385,7-12,.583,12,32,44,35.1,10,11,19,1,5,50,58.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9500,2019-20
at Bucknell,02/08/20,42-66,L,17-54,.315,4-12,.333,4-6,.667,7,25,32,35.0,11,10,15,1,5,42,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9501,2019-20
vs American,02/12/20,56-47,W,22-56,.393,2-12,.167,10-15,.667,13,24,37,35.1,13,10,14,4,7,56,57.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9502,2019-20
at Colgate,02/15/20,70-79,L,25-60,.417,2-10,.200,18-28,.643,13,28,41,35.3,19,2,16,1,10,70,58.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9503,2019-20
at Army West Point,02/19/20,55-75,L,21-63,.333,4-21,.190,9-15,.600,12,22,34,35.3,17,6,15,2,9,55,58.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9504,2019-20
vs Lafayette,02/22/20,65-76,L,21-53,.396,7-21,.333,16-18,.889,7,29,36,35.3,20,14,17,2,1,65,58.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9505,2019-20
vs Navy,02/26/20,64-54,W,24-51,.471,6-14,.429,10-15,.667,10,25,35,35.3,8,12,16,2,7,64,58.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9506,2019-20
at Lehigh,03/01/20,64-82,L,24-60,.400,6-19,.316,10-18,.556,7,33,40,35.5,15,14,15,3,2,64,58.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9507,2019-20
at Holy Cross,03/04/20,48-66,L,17-49,.347,9-22,.409,5-9,.556,4,17,21,35.0,15,14,8,2,8,48,58.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9508,2019-20
vs Army West Point,03/07/20,65-72,L,26-73,.356,4-23,.174,9-15,.600,11,24,35,35.0,23,9,10,1,11,65,58.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9509,2019-20
at George Mason,11/06/18,38-70,L,12-60,.200,3-19,.158,11-20,.550,17,21,38,38.0,21,6,17,3,10,38,38.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8666,2018-19
at Dartmouth,11/09/18,41-54,L,13-53,.245,5-17,.294,10-19,.526,11,27,38,38.0,20,6,18,0,10,41,39.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8667,2018-19
