team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,Colgate,04,"04 Dixon, Taleah",*,39,4-12,0-3,4-4,0-0,0,1,4,3,0,4,12,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,10,"10 Sims, Koi",*,31,5-7,0-0,1-1,4-6,10,1,0,1,1,1,11,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,01,"01 Ratigan, Kelly",*,35,1-5,1-4,0-0,0-0,0,3,3,0,0,1,3,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,15,"15 Salmerón, Laura",*,29,0-3,0-3,0-0,0-2,2,1,4,4,0,0,0,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,05,"05 Newman, Devyne",,27,7-11,0-1,0-0,2-2,4,0,3,1,0,0,14,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,12,"12 Garcia, Cristina",,8,1-2,0-0,0-0,0-1,1,0,0,1,0,0,2,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,02,"02 Van-Otoo, Meliah",,11,0-1,0-1,1-2,0-0,0,2,0,2,0,0,1,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,11,"11 Glezen, Emma",,7,0-1,0-1,0-0,0-2,2,1,0,0,0,0,0,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,23,"23 Espinal, Marta",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
Loyola Maryland,Colgate,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0,12/30/22,4:00 PM,"Cotterell Court, Hamilton, NY",61,56
