team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Loyola Maryland 50,Colgate 64,23,"23 Espinal, Marta",,12,1-2,0-0,0-0,1-2,3,1,0,0,0,0,2
Loyola Maryland 50,Colgate 64,02,"02 Van-Otoo, Meliah",,7,0-0,0-0,1-2,0-0,0,0,0,2,0,0,1
Loyola Maryland 50,Colgate 64,12,"12 Garcia, Cristina",,14,0-1,0-0,0-0,1-1,2,0,0,2,0,0,0
Loyola Maryland 50,Colgate 64,15,"15 Salmerón, Laura",,13,0-0,0-0,0-0,0-0,0,1,1,1,0,1,0
Loyola Maryland 50,Colgate 64,TM,TM TEAM,,0,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0
Loyola Maryland 61,Lafayette 52,45,"45 Therien, Lex",*,37,6-13,0-1,5-9,3-18,21,3,3,5,0,2,17
Loyola Maryland 61,Lafayette 52,05,"05 Newman, Devyne",*,33,8-13,1-1,0-0,2-3,5,0,3,1,0,1,17
Loyola Maryland 61,Lafayette 52,04,"04 Dixon, Taleah",*,35,3-9,2-6,4-4,0-2,2,1,2,1,0,0,12
Loyola Maryland 61,Lafayette 52,01,"01 Ratigan, Kelly",*,38,4-8,2-4,0-1,0-1,1,2,3,1,0,0,10
Loyola Maryland 61,Lafayette 52,22,"22 Rozzi, Bri",*,36,1-4,1-3,2-2,0-2,2,3,5,2,0,1,5
Loyola Maryland 61,Lafayette 52,12,"12 Garcia, Cristina",,11,0-2,0-1,0-0,0-0,0,2,1,0,0,0,0
Loyola Maryland 61,Lafayette 52,13,"13 Tañedo, Caramina",,5,0-0,0-0,0-0,1-0,1,0,1,0,0,0,0
Loyola Maryland 61,Lafayette 52,23,"23 Espinal, Marta",,4,0-2,0-0,0-0,1-1,2,1,0,0,0,0,0
Loyola Maryland 61,Lafayette 52,15,"15 Salmerón, Laura",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 61,Lafayette 52,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
Lafayette 52,Loyola Maryland 61,23,"23 Andrews,Makayla",*,35,6-13,0-1,2-2,1-7,8,3,0,4,1,0,14
Lafayette 52,Loyola Maryland 61,01,"01 Antognoli,Abby",*,40,5-12,1-6,2-2,1-2,3,1,5,0,0,2,13
Lafayette 52,Loyola Maryland 61,15,"15 Donahue,Kay",*,33,4-14,3-8,0-0,0-6,6,3,1,3,1,0,11
Lafayette 52,Loyola Maryland 61,24,"24 Ntaconayigize,Sauda",*,34,2-5,1-3,0-0,0-1,1,0,3,2,0,0,5
Lafayette 52,Loyola Maryland 61,22,"22 Matthews,Aniya",*,32,2-6,0-0,0-0,2-5,7,4,1,1,2,1,4
Lafayette 52,Loyola Maryland 61,04,"04 Favours,Kylie",,26,2-4,1-2,0-0,0-1,1,3,0,1,0,1,5
Lafayette 52,Loyola Maryland 61,TM,TM TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,04,"04 Dixon, Taleah",*,34,4-10,1-2,2-2,0-3,3,1,1,1,0,1,11
Loyola Maryland 52,Boston U. 66,05,"05 Newman, Devyne",*,33,5-17,1-3,0-0,1-1,2,2,1,1,0,1,11
Loyola Maryland 52,Boston U. 66,22,"22 Rozzi, Bri",*,37,3-7,1-3,2-2,0-5,5,0,3,1,0,0,9
Loyola Maryland 52,Boston U. 66,01,"01 Ratigan, Kelly",*,31,3-7,2-4,0-0,1-6,7,1,0,2,0,1,8
Loyola Maryland 52,Boston U. 66,45,"45 Therien, Lex",*,28,3-9,0-0,2-2,2-9,11,4,1,2,0,2,8
Loyola Maryland 52,Boston U. 66,13,"13 Tañedo, Caramina",,13,1-3,1-1,0-0,2-0,2,0,0,1,0,1,3
Loyola Maryland 52,Boston U. 66,12,"12 Garcia, Cristina",,10,1-3,0-0,0-0,0-0,0,2,0,0,0,0,2
Loyola Maryland 52,Boston U. 66,23,"23 Espinal, Marta",,12,0-2,0-0,0-0,1-2,3,3,0,4,0,0,0
Loyola Maryland 52,Boston U. 66,15,"15 Salmerón, Laura",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,35,"35 Therien, Ava",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,21,"21 Orza, Caroline",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 52,Boston U. 66,TM,TM TEAM,,0,0-0,0-0,0-0,3-2,5,0,0,2,0,0,0
Boston U. 66,Loyola Maryland 52,10,"10 Giannaros,Alex",*,31,6-14,6-12,0-0,0-3,3,0,4,1,0,1,18
Boston U. 66,Loyola Maryland 52,30,"30 Davenport,Lauren",*,26,5-13,4-7,0-1,0-3,3,2,0,1,0,1,14
Boston U. 66,Loyola Maryland 52,33,"33 Durant,Maren",*,37,5-6,0-0,2-3,1-14,15,2,2,1,6,2,12
Boston U. 66,Loyola Maryland 52,14,"14 Johnson,Sydney",*,37,4-9,1-4,2-5,2-1,3,2,8,0,0,1,11
Boston U. 66,Loyola Maryland 52,22,"22 Pina,Maggie",*,23,1-6,0-3,0-0,0-0,0,1,2,1,0,2,2
Boston U. 66,Loyola Maryland 52,44,"44 Crispe,Sam",,17,3-5,0-1,0-0,1-3,4,3,2,2,0,0,6
Boston U. 66,Loyola Maryland 52,40,"40 Beneventine,Sophie",,18,1-3,1-2,0-0,0-0,0,0,2,1,0,1,3
Boston U. 66,Loyola Maryland 52,04,"04 Shean,Liz",,7,0-0,0-0,0-0,1-2,3,0,0,3,0,0,0
Boston U. 66,Loyola Maryland 52,02,"02 Semenova,Anastasiia",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Boston U. 66,Loyola Maryland 52,03,"03 Mingo,Kelsi",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Boston U. 66,Loyola Maryland 52,TM,TM TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
