team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Loyola Maryland 58,George Mason 66,02,"02 Van-Otoo, Meliah",*,12,1-3,0-0,1-2,0-0,0,1,1,1,0,0,3
Loyola Maryland 58,George Mason 66,10,"10 Sims, Koi",*,24,1-5,0-0,0-0,2-5,7,5,1,3,1,1,2
Loyola Maryland 58,George Mason 66,12,"12 Garcia, Cristina",,6,0-0,0-0,3-4,0-0,0,3,0,0,0,0,3
Loyola Maryland 58,George Mason 66,23,"23 Espinal, Marta",,14,1-1,0-0,0-0,1-2,3,2,1,1,0,0,2
Loyola Maryland 58,George Mason 66,13,"13 Tañedo, Caramina",,26,0-3,0-1,0-0,1-2,3,0,1,0,0,0,0
Loyola Maryland 58,George Mason 66,11,"11 Glezen, Emma",,11,0-0,0-0,0-0,0-1,1,4,0,3,0,0,0
Loyola Maryland 58,George Mason 66,01,"01 Ratigan, Kelly",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 58,George Mason 66,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,1,0,0,0
George Mason 66,Loyola Maryland 58,00,"00 Jameson,Taylor",*,37,6-11,3-7,4-6,1-1,2,2,1,2,0,1,19
George Mason 66,Loyola Maryland 58,42,"42 Kaysia,Nalani",*,32,5-8,0-0,0-4,0-6,6,1,0,3,2,0,10
George Mason 66,Loyola Maryland 58,15,"15 Ephraim,J-Naya",*,23,0-2,0-0,5-6,3-2,5,1,1,1,0,0,5
George Mason 66,Loyola Maryland 58,25,"25 Childs,Riley",*,24,1-3,1-2,1-2,1-3,4,4,2,1,2,2,4
George Mason 66,Loyola Maryland 58,04,"04 Smith,Sonia",*,27,1-5,0-0,1-2,1-2,3,3,4,4,0,0,3
George Mason 66,Loyola Maryland 58,02,"02 Lawhorne,Tamia",,21,5-8,4-6,3-4,1-1,2,0,1,2,0,0,17
George Mason 66,Loyola Maryland 58,01,"01 Doster,Jazmyn",,10,1-2,0-0,2-6,2-4,6,4,0,0,3,0,4
George Mason 66,Loyola Maryland 58,14,"14 Suarez,Paula",,19,1-1,0-0,0-0,0-0,0,1,3,1,0,1,2
George Mason 66,Loyola Maryland 58,23,"23 Mitchell,Nekhu",,7,1-1,0-0,0-0,1-1,2,1,0,0,0,0,2
George Mason 66,Loyola Maryland 58,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,3,0,0,0
Loyola Maryland 69,Bryant 64,45,"45 Therien, Lex",*,22,5-11,0-1,6-8,4-6,10,4,0,2,0,1,16
Loyola Maryland 69,Bryant 64,04,"04 Dixon, Taleah",*,34,4-14,2-6,4-6,0-0,0,1,1,1,0,2,14
Loyola Maryland 69,Bryant 64,22,"22 Rozzi, Bri",*,31,4-11,2-7,4-4,0-0,0,2,5,0,0,1,14
Loyola Maryland 69,Bryant 64,13,"13 Tañedo, Caramina",*,35,4-5,4-5,0-0,1-1,2,1,2,3,0,3,12
Loyola Maryland 69,Bryant 64,10,"10 Sims, Koi",*,33,2-9,0-0,1-2,3-9,12,1,2,2,0,3,5
Loyola Maryland 69,Bryant 64,01,"01 Ratigan, Kelly",,7,1-1,1-1,0-0,0-0,0,0,0,1,0,0,3
Loyola Maryland 69,Bryant 64,11,"11 Glezen, Emma",,14,1-1,0-0,0-0,1-2,3,2,3,0,0,0,2
Loyola Maryland 69,Bryant 64,23,"23 Espinal, Marta",,9,1-1,0-0,0-0,3-0,3,3,2,1,0,0,2
Loyola Maryland 69,Bryant 64,12,"12 Garcia, Cristina",,14,0-2,0-0,1-5,0-1,1,0,0,0,0,0,1
Loyola Maryland 69,Bryant 64,02,"02 Van-Otoo, Meliah",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 69,Bryant 64,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,0,0,0,0
Bryant 64,Loyola Maryland 69,05,"05 Planes Fortuny,Mariona",*,24,7-10,0-0,1-2,3-2,5,4,0,2,2,0,15
Bryant 64,Loyola Maryland 69,24,"24 Bodziony,Megan",*,29,5-13,0-1,0-0,0-4,4,4,2,4,0,0,10
Bryant 64,Loyola Maryland 69,04,"04 Castagne,Lucie",*,35,4-7,1-1,0-0,0-2,2,1,0,1,0,1,9
Bryant 64,Loyola Maryland 69,21,"21 Gallagher,Nicole",*,31,3-6,2-4,0-0,2-2,4,4,3,4,0,1,8
Bryant 64,Loyola Maryland 69,33,"33 Martinez,Marta Neira",*,18,1-4,0-0,0-0,0-2,2,4,1,2,0,0,2
Bryant 64,Loyola Maryland 69,10,"10 Reynolds,Kemari",,19,3-5,0-0,2-4,1-1,2,3,0,3,0,2,8
Bryant 64,Loyola Maryland 69,15,"15 Kiefer,Dana",,22,2-4,1-2,1-2,3-4,7,0,0,1,1,1,6
Bryant 64,Loyola Maryland 69,13,"13 Berens,Jessica",,16,1-3,0-0,4-4,1-0,1,1,1,0,0,1,6
Bryant 64,Loyola Maryland 69,00,"00 Perkins,Alana",,6,0-2,0-2,0-0,0-1,1,0,0,1,0,0,0
Bryant 64,Loyola Maryland 69,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
Delaware St. 51,Loyola Maryland 60,03,"03 Moragne,Alexis",*,36,4-8,2-3,3-6,0-3,3,4,1,3,0,0,13
Delaware St. 51,Loyola Maryland 60,01,"01 Wilson,Denijsha",*,38,4-7,0-0,4-4,0-1,1,3,2,7,0,2,12
Delaware St. 51,Loyola Maryland 60,23,"23 Brooks,Savannah",*,39,3-12,1-2,4-6,1-1,2,2,0,3,0,0,11
Delaware St. 51,Loyola Maryland 60,22,"22 Tollie,Tyshonne",*,29,4-5,0-0,2-2,2-1,3,2,1,4,0,4,10
Delaware St. 51,Loyola Maryland 60,10,"10 Martino,Jessica",*,30,0-1,0-0,3-4,1-5,6,3,0,2,1,0,3
Delaware St. 51,Loyola Maryland 60,02,"02 Zulueta,Noami",,17,1-1,0-0,0-0,0-1,1,3,1,1,1,1,2
Delaware St. 51,Loyola Maryland 60,20,"20 Watkins,Sydney",,6,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0
Delaware St. 51,Loyola Maryland 60,11,"11 Dodson,Breionna",,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0
Delaware St. 51,Loyola Maryland 60,04,"04 Thompson,Deyonce",,1,0-1,0-1,0-0,0-1,1,1,0,0,0,0,0
Delaware St. 51,Loyola Maryland 60,TM,TM TEAM,,0,0-0,0-0,0-0,2-2,4,0,0,2,0,0,0
Loyola Maryland 60,Delaware St. 51,04,"04 Dixon, Taleah",*,32,10-15,5-7,1-1,0-0,0,0,2,3,0,2,26
Loyola Maryland 60,Delaware St. 51,22,"22 Rozzi, Bri",*,24,2-4,1-1,2-2,0-2,2,4,0,1,0,1,7
